ID	log2Exp	log2FC
ASHGA5P000816	8.067	1.527
ASHGA5P000817	7.144	-1.288
ASHGA5P000818	10.52	-3.603
ASHGA5P000819	8.236	-2.532
ASHGA5P000820	7.663	-0.776
ASHGA5P000821	3.726	-0.968
ASHGA5P000822	7.169	-1.412
ASHGA5P000823	7.459	1.023
ASHGA5P000824	9.423	-2.562
ASHGA5P000826	7.976	-1.172
ASHGA5P000827	13.749	-0.459
ASHGA5P000828	6.08	-2.525
ASHGA5P000829	5.921	0.556
ASHGA5P000830	8.589	1.341
ASHGA5P000831	4.471	1.625
ASHGA5P000832	4.634	-4.161
ASHGA5P000833	7.669	1.207
ASHGA5P000834	9.449	-1.535
ASHGA5P000836	4.92	-3.515
ASHGA5P000838	3.76	-1.177
ASHGA5P000839	10.166	-1.11
ASHGA5P000840	9.935	-2.794
ASHGA5P000841	7.739	0.386
ASHGA5P000843	9.597	-3.738
ASHGA5P000845	10.493	-0.521
ASHGA5P000849	7.297	0.39
ASHGA5P000850	3.748	-1.473
ASHGA5P000854	8.94	-3.258
ASHGA5P000856	6.069	-4.335
ASHGA5P000857	8.121	0.696
ASHGA5P000858	15.796	-0.743
ASHGA5P000859	10.265	-2.049
ASHGA5P000860	8.572	0.653
ASHGA5P000861	7.808	1.699
ASHGA5P000862	9.224	1.072
ASHGA5P000864	7.625	-0.559
ASHGA5P000866	5.109	0.892
ASHGA5P000867	11.362	4.144
ASHGA5P000868	11.911	-0.632
ASHGA5P000869	6.821	-2.769
ASHGA5P000870	3.076	-1.027
ASHGA5P000871	11.897	-0.582
ASHGA5P000872	8.475	0.628
ASHGA5P000873	7.919	-2.841
ASHGA5P000874	10.893	-1.013
ASHGA5P000875	4.973	4.805
ASHGA5P000876	8.362	-2.945
ASHGA5P000878	7.867	-0.991
ASHGA5P000880	11.864	-0.928
ASHGA5P000881	14.454	-0.383
ASHGA5P000883	11.865	1.143
ASHGA5P000884	6.103	2.027
ASHGA5P000885	8.078	0.717
ASHGA5P000887	13.552	4.056
ASHGA5P000888	7.848	-2.316
ASHGA5P000890	7.364	-1.048
ASHGA5P000892	12.621	0.555
ASHGA5P000893	6.225	-1.491
ASHGA5P000895	3.404	-1.396
ASHGA5P000896	16.436	-0.708
ASHGA5P000897	13.439	1.664
ASHGA5P000898	8.115	0.437
ASHGA5P000899	4.87	1.187
ASHGA5P000900	10.517	-2.864
ASHGA5P000901	10.379	1.046
ASHGA5P000902	5.422	0.668
ASHGA5P000903	5.455	-2.471
ASHGA5P000904	10.72	3.192
ASHGA5P000905	15.44	1.402
ASHGA5P000906	6.501	-2.047
ASHGA5P000907	7.089	-2.001
ASHGA5P000908	4.628	-0.619
ASHGA5P000909	13.33	0.808
ASHGA5P000911	6.858	0.86
ASHGA5P000913	10.775	1.213
ASHGA5P000914	6.506	1.5
ASHGA5P000915	7.905	1.231
ASHGA5P000916	6.313	-1.955
ASHGA5P000918	3.146	0.979
ASHGA5P000920	5.594	-4.405
ASHGA5P000922	11.154	-3.264
ASHGA5P000923	7.46	-0.536
ASHGA5P000924	6.505	0.617
ASHGA5P000927	14.007	0.56
ASHGA5P000928	8.867	1.278
ASHGA5P000929	3.947	-0.897
ASHGA5P000932	5.904	0.811
ASHGA5P000934	6.266	-4.809
ASHGA5P000935	5.187	1.494
ASHGA5P000936	6.731	-2.139
ASHGA5P000938	7.632	0.475
ASHGA5P000939	7.818	-1.204
ASHGA5P000941	5.779	-1.366
ASHGA5P000942	9.394	-2.708
ASHGA5P000943	11.285	-2.268
