ID	log2(fold change)	-log10(Pvalue)
ASHGA5P001122	1.069	1.638
ASHGA5P001123	0.485	2.225
ASHGA5P001124	-3.477	4.095
ASHGA5P001125	0.968	2.366
ASHGA5P001126	-1.112	4.109
ASHGA5P001128	1.255	3.281
ASHGA5P001129	0.852	3.261
ASHGA5P001130	1.404	4.945
ASHGA5P001131	-3.235	6.72
ASHGA5P001133	-1.111	2.39
ASHGA5P001136	-2.347	4.444
ASHGA5P001137	1.142	2.8
ASHGA5P001139	1.845	3.384
ASHGA5P001140	1.832	5.758
ASHGA5P001141	-0.966	1.786
ASHGA5P001144	1.168	3.515
ASHGA5P001148	0.945	2.965
ASHGA5P001149	-0.554	2.84
ASHGA5P001150	1.242	4.774
ASHGA5P001152	-5.19	4.272
ASHGA5P001153	-2.11	4.133
ASHGA5P001155	-3.064	5.318
ASHGA5P001157	-1.623	4.821
ASHGA5P001160	-4.673	3.763
ASHGA5P001161	0.557	1.566
ASHGA5P001162	-2.134	5.745
ASHGA5P001164	-3.206	6.832
ASHGA5P001166	1.593	4.337
ASHGA5P001168	0.69	2.787
ASHGA5P001169	-1.169	3.643
ASHGA5P001170	1.261	2.851
ASHGA5P001171	-1.121	4.349
ASHGA5P001172	1.226	2.573
ASHGA5P001173	0.62	2.049
ASHGA5P001175	0.408	1.713
ASHGA5P001176	0.726	2.202
ASHGA5P001177	-0.752	2.72
ASHGA5P001179	-2.336	5.058
ASHGA5P001185	-1.363	2.171
ASHGA5P001187	1.06	3.746
ASHGA5P001189	1.427	2.112
ASHGA5P001191	-1.235	1.865
ASHGA5P001192	0.527	2.18
ASHGA5P001193	-1.561	5.185
ASHGA5P001194	-3.854	6.178
ASHGA5P001195	-3.54	3.493
ASHGA5P001197	-2.377	5.254
ASHGA5P001198	-1.034	3.947
ASHGA5P001200	-1.031	2.895
ASHGA5P001201	1.121	3.554
ASHGA5P001202	-1.249	4.692
ASHGA5P001205	-3.693	5.585
ASHGA5P001207	0.464	2.225
ASHGA5P001208	-3.793	3.668
ASHGA5P001209	-1.589	4.301
ASHGA5P001210	-4.856	5.96
ASHGA5P001211	-1.202	3.128
ASHGA5P001212	-0.676	2.085
ASHGA5P001213	-0.696	2.161
ASHGA5P001215	-2.738	5.473
ASHGA5P001216	-3.226	3.888
ASHGA5P001217	0.606	2.701
ASHGA5P001218	-1.72	4.786
ASHGA5P001220	7.343	6.799
ASHGA5P001221	-1.044	3.339
ASHGA5P001222	3.116	5.889
ASHGA5P001223	1.289	3.996
ASHGA5P001225	1.052	3.76
ASHGA5P001226	1.257	2.462
ASHGA5P001227	-1.486	4.253
ASHGA5P001228	-1.569	4.862
ASHGA5P001229	1.341	3.029
ASHGA5P001232	0.82	3.278
ASHGA5P001234	0.378	1.608
ASHGA5P001235	1.217	4.692
ASHGA5P001236	1.049	3.47
ASHGA5P001237	2.026	5.791
ASHGA5P001238	-1.131	4.251
ASHGA5P001239	-2.35	4.724
ASHGA5P001240	1.123	3.087
ASHGA5P001243	2.197	5.671
ASHGA5P001244	-1.643	4.717
ASHGA5P001245	-0.51	2.3
ASHGA5P001246	0.615	2.078
ASHGA5P001247	-1.762	4.848
ASHGA5P001248	1.59	3.614
ASHGA5P001249	-2.378	5.639
ASHGA5P001251	-0.614	2.614
ASHGA5P001253	-2.482	4.898
ASHGA5P001254	1.477	4.873
ASHGA5P001255	-1.271	4.459
ASHGA5P001256	-0.904	3.523
ASHGA5P001257	0.914	2.524
ASHGA5P001258	1.599	3.362
ASHGA5P001259	1.036	2.904
ASHGA5P001260	-3.748	5.782
ASHGA5P001261	1.331	3.889
ASHGA5P001262	-1.097	2.607
ASHGA5P001264	-0.41	2.181
ASHGA5P001265	-4.147	5.604
ASHGA5P001266	-1.243	4.21
ASHGA5P001267	1.065	3.313
ASHGA5P001268	-2.021	5.653
ASHGA5P001269	-2.356	3.99
ASHGA5P001270	-0.966	3.76
ASHGA5P001272	-1.521	4.168
ASHGA5P001273	-1.035	2.699
ASHGA5P001274	0.398	1.965
ASHGA5P001275	4.439	6.743
ASHGA5P001278	-0.798	2.05
ASHGA5P001279	-2.969	3.736
ASHGA5P001280	-0.651	3.095
ASHGA5P001283	-0.677	2.899
ASHGA5P001284	1.832	4.462
ASHGA5P001286	1.488	4.653
ASHGA5P001287	-1.609	1.79
ASHGA5P001288	1.329	4.558
